month,fy,product_id,product_name,category,warehouse,opening_stock,stock_received,stock_sold,damaged_in_transit,closing_stock,transit_damage_pct,stockout_days,reorder_triggered,supplier_lead_days,po_raised,cost_of_goods_inr,holding_cost_inr,is_peak_month
May-2022,FY23,PL008,Money Plant (Epipremnum),Live Plants,Talegaon Main (Pune),2382,183,611,45,1909,7.36,0,No,11,No,30550,1431,No
May-2022,FY23,PL009,Rubber Plant,Live Plants,Bengaluru Hub,1356,845,583,47,1571,8.06,0,No,11,No,104940,4241,No
May-2022,FY23,PL010,Aglaonema Red,Live Plants,Bengaluru Hub,705,1152,722,60,1075,8.31,0,No,5,No,151620,3386,No
May-2022,FY23,PL011,Rose – Red (Grafted),Live Plants,Hyderabad Spoke,1941,283,717,64,1443,8.93,0,No,14,No,93210,2813,No
May-2022,FY23,PL012,Hibiscus – Pink,Live Plants,Delhi Hub,372,152,218,9,297,4.13,0,No,12,No,23980,490,No
May-2022,FY23,PL013,Bougainvillea,Live Plants,Talegaon Main (Pune),1017,456,492,29,952,5.89,0,No,14,No,56580,1642,No
May-2022,FY23,PL014,Ixora,Live Plants,Mumbai Hub,2064,526,391,29,2170,7.42,0,No,6,No,33235,2766,No
May-2022,FY23,PL015,Marigold Seedling,Live Plants,Bengaluru Hub,1131,529,687,65,908,9.46,0,No,8,No,27480,544,No
May-2022,FY23,PL016,Aloe Vera,Live Plants,Talegaon Main (Pune),1206,1024,197,16,2017,8.12,0,No,6,No,15760,2420,No
May-2022,FY23,PL017,Cactus Mix (3 pack),Live Plants,Talegaon Main (Pune),1086,412,598,38,862,6.35,0,No,6,No,38870,840,No
May-2022,FY23,PL018,Echeveria Set of 3,Live Plants,Delhi Hub,2226,369,198,12,2385,6.06,0,No,14,No,18810,3398,No
May-2022,FY23,PL019,Areca Palm,Live Plants,Bengaluru Hub,653,274,884,75,0,8.48,2,Yes,7,Yes,221000,0,No
May-2022,FY23,PL020,Bamboo Palm,Live Plants,Bengaluru Hub,516,309,361,34,430,9.42,0,No,5,No,97470,1741,No
May-2022,FY23,SD001,Cherry Tomato Seeds,Seeds,Delhi Hub,1773,443,783,3,1430,0.38,0,No,12,No,14094,386,No
May-2022,FY23,SD002,Spinach Seeds (50g),Seeds,Hyderabad Spoke,1640,458,221,0,1877,0.0,0,No,11,No,3094,394,No
May-2022,FY23,SD003,Coriander Seeds (50g),Seeds,Hyderabad Spoke,984,851,319,1,1515,0.31,0,No,4,No,3828,272,No
May-2022,FY23,SD004,Chilli Hybrid Seeds,Seeds,Bengaluru Hub,1335,205,159,4,1377,2.52,0,No,3,No,3498,454,No
May-2022,FY23,SD005,Marigold Seeds,Seeds,Mumbai Hub,1876,999,522,5,2348,0.96,0,No,6,No,8352,563,No
May-2022,FY23,SD006,Sunflower Seeds,Seeds,Delhi Hub,2348,149,364,0,2133,0.0,0,No,4,No,7280,639,No
May-2022,FY23,SD007,Petunia Seeds,Seeds,Hyderabad Spoke,713,1162,720,1,1154,0.14,0,No,11,No,20160,484,No
May-2022,FY23,SD008,Methi Seeds (100g),Seeds,Mumbai Hub,1986,280,418,4,1844,0.96,0,No,12,No,4180,276,No
May-2022,FY23,SD009,Basil Seeds,Seeds,Mumbai Hub,891,878,717,3,1049,0.42,0,No,3,No,10755,236,No
May-2022,FY23,PT001,Ceramic Pot 5 inch – White,Pots & Planters,Talegaon Main (Pune),1868,1136,351,5,2648,1.42,0,No,8,No,36855,4170,No
May-2022,FY23,PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Hyderabad Spoke,1761,645,759,3,1644,0.4,0,No,5,No,102465,3329,No
May-2022,FY23,PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Bengaluru Hub,1684,290,740,2,1232,0.27,0,No,8,No,155400,3880,No
May-2022,FY23,PT004,Classic Terracotta 6in,Pots & Planters,Talegaon Main (Pune),1272,800,190,5,1877,2.63,0,No,6,No,13300,1970,No
May-2022,FY23,PT005,Self-Watering Pot 7in,Pots & Planters,Delhi Hub,2252,439,343,3,2345,0.87,0,No,6,No,82320,8442,No
May-2022,FY23,PT006,Hanging Basket Planter,Pots & Planters,Mumbai Hub,867,869,684,1,1051,0.15,0,No,13,No,112860,2601,No
May-2022,FY23,PT007,Vertical Wall Planter (5 pocket),Pots & Planters,Hyderabad Spoke,841,395,493,0,743,0.0,0,No,11,No,192270,4346,No
May-2022,FY23,PT008,Nursery Grow Bags (5 pack),Pots & Planters,Talegaon Main (Pune),258,774,203,0,829,0.0,0,No,12,No,16240,994,No
May-2022,FY23,FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Talegaon Main (Pune),427,163,235,5,350,2.13,0,No,14,No,22325,498,No
May-2022,FY23,FR002,Organic Vermicompost (2kg),Fertilisers,Delhi Hub,1208,1114,611,2,1709,0.33,0,No,6,No,67210,2819,No
May-2022,FY23,FR003,Seaweed Liquid Fertiliser,Fertilisers,Hyderabad Spoke,2016,984,289,4,2707,1.38,0,No,6,No,23120,3248,No
May-2022,FY23,FR004,Bone Meal Fertiliser (500g),Fertilisers,Hyderabad Spoke,1691,444,398,2,1735,0.5,0,No,13,No,39800,2602,No
May-2022,FY23,FR005,Plant Tonic – Rooting Hormone,Fertilisers,Delhi Hub,1243,749,405,3,1584,0.74,0,No,4,No,28350,1663,No
May-2022,FY23,TL001,Garden Pruner – Stainless,Tools,Mumbai Hub,2071,830,674,4,2223,0.59,0,No,3,No,97730,4835,No
May-2022,FY23,TL002,Watering Can 2L,Tools,Delhi Hub,1006,785,300,5,1486,1.67,0,No,11,No,28500,2117,No
May-2022,FY23,TL003,Premium Potting Mix 5kg,Tools,Talegaon Main (Pune),1209,158,674,2,691,0.3,0,No,9,No,87620,1347,No
May-2022,FY23,TL004,Pebbles Decorative 500g,Tools,Hyderabad Spoke,816,595,200,0,1211,0.0,0,No,4,No,11000,999,No
May-2022,FY23,TL005,Moisture Meter,Tools,Talegaon Main (Pune),2006,939,797,3,2145,0.38,0,No,6,No,159400,6435,No
May-2022,FY23,GF001,Green Starter Kit,Gifting,Talegaon Main (Pune),1893,564,700,5,1752,0.71,0,No,10,No,259000,9723,No
May-2022,FY23,GF002,Plant Parent Gift Box,Gifting,Mumbai Hub,1337,208,686,3,856,0.44,0,No,9,No,452760,8474,No
May-2022,FY23,GF003,Festive Diwali Plant Hamper,Gifting,Mumbai Hub,1964,251,348,0,1867,0.0,0,No,9,No,382800,30805,No
May-2022,FY23,GF004,Corporate Desk Plant Set,Gifting,Talegaon Main (Pune),417,712,114,2,1013,1.75,0,No,6,No,61560,8205,No
May-2022,FY23,GF005,Anniversary Succulent Box,Gifting,Hyderabad Spoke,1659,506,429,4,1732,0.93,0,No,9,No,184470,11171,No
Jun-2022,FY23,PL001,Monstera Deliciosa,Live Plants,Talegaon Main (Pune),1601,169,702,49,1019,6.98,0,No,11,No,98280,2139,No
Jun-2022,FY23,PL002,Peace Lily,Live Plants,Hyderabad Spoke,2222,163,485,15,1885,3.09,0,No,3,No,43650,2544,No
Jun-2022,FY23,PL003,Snake Plant (Sansevieria),Live Plants,Mumbai Hub,439,613,626,26,400,4.15,0,No,10,No,62600,600,No
Jun-2022,FY23,PL004,Fiddle Leaf Fig,Live Plants,Talegaon Main (Pune),1550,641,477,44,1670,9.22,0,No,10,No,143100,7515,No
Jun-2022,FY23,PL005,Golden Pothos,Live Plants,Hyderabad Spoke,1204,628,728,42,1062,5.77,0,No,13,No,43680,955,No
Jun-2022,FY23,PL006,ZZ Plant,Live Plants,Talegaon Main (Pune),1782,434,465,41,1710,8.82,0,No,5,No,74400,4104,No
Jun-2022,FY23,PL007,Spider Plant,Live Plants,Talegaon Main (Pune),1181,738,707,29,1183,4.1,0,No,10,No,53025,1330,No
Jun-2022,FY23,PL008,Money Plant (Epipremnum),Live Plants,Hyderabad Spoke,986,842,707,40,1081,5.66,0,No,12,No,35350,810,No
Jun-2022,FY23,PL009,Rubber Plant,Live Plants,Talegaon Main (Pune),646,346,684,31,277,4.53,0,No,6,No,123120,747,No
Jun-2022,FY23,PL010,Aglaonema Red,Live Plants,Hyderabad Spoke,1771,173,148,4,1792,2.7,0,No,5,No,31080,5644,No
Jun-2022,FY23,PL011,Rose – Red (Grafted),Live Plants,Bengaluru Hub,1909,216,699,51,1375,7.3,0,No,7,No,90870,2681,No
Jun-2022,FY23,PL012,Hibiscus – Pink,Live Plants,Hyderabad Spoke,1728,897,251,16,2358,6.37,0,No,6,No,27610,3890,No
Jun-2022,FY23,PL013,Bougainvillea,Live Plants,Mumbai Hub,2019,921,779,72,2089,9.24,0,No,5,No,89585,3603,No
Jun-2022,FY23,PL014,Ixora,Live Plants,Mumbai Hub,1514,1041,545,30,1980,5.5,0,No,13,No,46325,2524,No
Jun-2022,FY23,PL015,Marigold Seedling,Live Plants,Talegaon Main (Pune),885,1064,840,45,1064,5.36,0,No,12,No,33600,638,No
Jun-2022,FY23,PL016,Aloe Vera,Live Plants,Mumbai Hub,2333,684,437,17,2563,3.89,0,No,6,No,34960,3075,No
Jun-2022,FY23,PL017,Cactus Mix (3 pack),Live Plants,Hyderabad Spoke,1680,1087,273,19,2475,6.96,0,No,5,No,17745,2413,No
Jun-2022,FY23,PL018,Echeveria Set of 3,Live Plants,Talegaon Main (Pune),866,720,720,53,813,7.36,0,No,5,No,68400,1158,No
Jun-2022,FY23,PL019,Areca Palm,Live Plants,Talegaon Main (Pune),478,1028,513,17,976,3.31,0,No,8,No,128250,3660,No
Jun-2022,FY23,PL020,Bamboo Palm,Live Plants,Talegaon Main (Pune),406,548,478,44,432,9.21,0,No,3,No,129060,1749,No
Jun-2022,FY23,SD001,Cherry Tomato Seeds,Seeds,Bengaluru Hub,1279,301,324,2,1254,0.62,0,No,10,No,5832,338,No
Jun-2022,FY23,SD002,Spinach Seeds (50g),Seeds,Bengaluru Hub,1565,1141,845,0,1861,0.0,0,No,4,No,11830,390,No
Jun-2022,FY23,SD003,Coriander Seeds (50g),Seeds,Delhi Hub,698,675,319,3,1051,0.94,0,No,4,No,3828,189,No
Jun-2022,FY23,SD004,Chilli Hybrid Seeds,Seeds,Bengaluru Hub,369,138,290,5,212,1.72,0,No,7,No,6380,69,No
Jun-2022,FY23,SD005,Marigold Seeds,Seeds,Delhi Hub,1858,462,273,3,2044,1.1,0,No,14,No,4368,490,No
Jun-2022,FY23,SD006,Sunflower Seeds,Seeds,Talegaon Main (Pune),998,237,406,0,829,0.0,0,No,13,No,8120,248,No
Jun-2022,FY23,SD007,Petunia Seeds,Seeds,Bengaluru Hub,1033,551,898,3,683,0.33,0,No,8,No,25144,286,No
Jun-2022,FY23,SD008,Methi Seeds (100g),Seeds,Hyderabad Spoke,1524,328,325,2,1525,0.62,0,No,14,No,3250,228,No
Jun-2022,FY23,SD009,Basil Seeds,Seeds,Mumbai Hub,1370,176,370,0,1176,0.0,0,No,3,No,5550,264,No
Jun-2022,FY23,PT001,Ceramic Pot 5 inch – White,Pots & Planters,Talegaon Main (Pune),480,474,476,4,474,0.84,0,No,10,No,49980,746,No
Jun-2022,FY23,PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Talegaon Main (Pune),280,896,369,1,806,0.27,0,No,11,No,49815,1632,No
Jun-2022,FY23,PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Mumbai Hub,1070,920,284,5,1701,1.76,0,No,9,No,59640,5358,No
Jun-2022,FY23,PT004,Classic Terracotta 6in,Pots & Planters,Mumbai Hub,2221,335,491,1,2064,0.2,0,No,8,No,34370,2167,No
Jun-2022,FY23,PT005,Self-Watering Pot 7in,Pots & Planters,Delhi Hub,1016,945,761,3,1197,0.39,0,No,10,No,182640,4309,No
Jun-2022,FY23,PT006,Hanging Basket Planter,Pots & Planters,Delhi Hub,2318,838,783,3,2370,0.38,0,No,3,No,129195,5865,No
Jun-2022,FY23,PT007,Vertical Wall Planter (5 pocket),Pots & Planters,Delhi Hub,1967,298,769,1,1495,0.13,0,No,5,No,299910,8745,No
Jun-2022,FY23,PT008,Nursery Grow Bags (5 pack),Pots & Planters,Hyderabad Spoke,1110,1043,675,1,1477,0.15,0,No,5,No,54000,1772,No
Jun-2022,FY23,FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Delhi Hub,1961,416,655,4,1718,0.61,0,No,14,No,62225,2448,No
Jun-2022,FY23,FR002,Organic Vermicompost (2kg),Fertilisers,Delhi Hub,885,225,596,2,512,0.34,0,No,8,No,65560,844,No
Jun-2022,FY23,FR003,Seaweed Liquid Fertiliser,Fertilisers,Bengaluru Hub,905,369,156,0,1118,0.0,0,No,10,No,12480,1341,No
Jun-2022,FY23,FR004,Bone Meal Fertiliser (500g),Fertilisers,Mumbai Hub,301,904,194,0,1011,0.0,0,No,14,No,19400,1516,No
Jun-2022,FY23,FR005,Plant Tonic – Rooting Hormone,Fertilisers,Delhi Hub,286,250,303,5,228,1.65,0,No,13,No,21210,239,No
Jun-2022,FY23,TL001,Garden Pruner – Stainless,Tools,Delhi Hub,661,349,504,2,504,0.4,0,No,8,No,73080,1096,No
Jun-2022,FY23,TL002,Watering Can 2L,Tools,Mumbai Hub,2364,264,855,0,1773,0.0,0,No,7,No,81225,2526,No
Jun-2022,FY23,TL003,Premium Potting Mix 5kg,Tools,Hyderabad Spoke,718,958,659,5,1012,0.76,0,No,4,No,85670,1973,No
Jun-2022,FY23,TL004,Pebbles Decorative 500g,Tools,Delhi Hub,2076,648,867,2,1855,0.23,0,No,9,No,47685,1530,No
Jun-2022,FY23,TL005,Moisture Meter,Tools,Delhi Hub,1584,839,542,4,1877,0.74,0,No,7,No,108400,5631,No
Jun-2022,FY23,GF001,Green Starter Kit,Gifting,Delhi Hub,2078,1081,125,4,3030,3.2,0,No,7,No,46250,16816,No
Jun-2022,FY23,GF002,Plant Parent Gift Box,Gifting,Delhi Hub,212,1032,778,4,462,0.51,0,No,14,No,513480,4573,No
Jun-2022,FY23,GF003,Festive Diwali Plant Hamper,Gifting,Delhi Hub,662,1014,283,2,1391,0.71,0,No,6,No,311300,22951,No
Jun-2022,FY23,GF004,Corporate Desk Plant Set,Gifting,Mumbai Hub,1940,1119,481,5,2573,1.04,0,No,10,No,259740,20841,No
Jun-2022,FY23,GF005,Anniversary Succulent Box,Gifting,Delhi Hub,1657,429,115,4,1967,3.48,0,No,5,No,49450,12687,No
Jul-2022,FY23,PL001,Monstera Deliciosa,Live Plants,Hyderabad Spoke,1891,863,406,35,2313,8.62,0,No,6,No,56840,4857,No
Jul-2022,FY23,PL002,Peace Lily,Live Plants,Talegaon Main (Pune),1493,1155,260,12,2376,4.62,0,No,7,No,23400,3207,No
Jul-2022,FY23,PL003,Snake Plant (Sansevieria),Live Plants,Delhi Hub,1057,621,525,43,1110,8.19,0,No,13,No,52500,1665,No
Jul-2022,FY23,PL004,Fiddle Leaf Fig,Live Plants,Bengaluru Hub,1273,341,462,25,1127,5.41,0,No,10,No,138600,5071,No
Jul-2022,FY23,PL005,Golden Pothos,Live Plants,Mumbai Hub,2183,584,453,18,2296,3.97,0,No,4,No,27180,2066,No
Jul-2022,FY23,PL006,ZZ Plant,Live Plants,Bengaluru Hub,211,1011,535,30,657,5.61,0,No,3,No,85600,1576,No
Jul-2022,FY23,PL007,Spider Plant,Live Plants,Hyderabad Spoke,809,1105,582,51,1281,8.76,0,No,14,No,43650,1441,No
Jul-2022,FY23,PL008,Money Plant (Epipremnum),Live Plants,Delhi Hub,1919,133,543,44,1465,8.1,0,No,14,No,27150,1098,No
Jul-2022,FY23,PL009,Rubber Plant,Live Plants,Talegaon Main (Pune),1241,856,632,21,1444,3.32,0,No,12,No,113760,3898,No
Jul-2022,FY23,PL010,Aglaonema Red,Live Plants,Mumbai Hub,2482,955,320,17,3100,5.31,0,No,10,No,67200,9765,No
Jul-2022,FY23,PL011,Rose – Red (Grafted),Live Plants,Talegaon Main (Pune),690,703,465,22,906,4.73,0,No,7,No,60450,1766,No
Jul-2022,FY23,PL012,Hibiscus – Pink,Live Plants,Mumbai Hub,1086,323,376,19,1014,5.05,0,No,12,No,41360,1673,No
Jul-2022,FY23,PL013,Bougainvillea,Live Plants,Mumbai Hub,653,499,453,27,672,5.96,0,No,3,No,52095,1159,No
Jul-2022,FY23,PL014,Ixora,Live Plants,Talegaon Main (Pune),1239,866,698,24,1383,3.44,0,No,11,No,59330,1763,No
Jul-2022,FY23,PL015,Marigold Seedling,Live Plants,Hyderabad Spoke,988,453,181,11,1249,6.08,0,No,4,No,7240,749,No
Jul-2022,FY23,PL016,Aloe Vera,Live Plants,Talegaon Main (Pune),2111,428,518,49,1972,9.46,0,No,3,No,41440,2366,No
Jul-2022,FY23,PL017,Cactus Mix (3 pack),Live Plants,Delhi Hub,1689,488,894,77,1206,8.61,0,No,10,No,58110,1175,No
Jul-2022,FY23,PL018,Echeveria Set of 3,Live Plants,Delhi Hub,2051,184,626,53,1556,8.47,0,No,6,No,59470,2217,No
Jul-2022,FY23,PL019,Areca Palm,Live Plants,Hyderabad Spoke,725,502,785,42,400,5.35,0,No,10,No,196250,1500,No
Jul-2022,FY23,PL020,Bamboo Palm,Live Plants,Bengaluru Hub,642,290,834,48,50,5.76,0,Yes,8,Yes,225180,202,No
Jul-2022,FY23,SD001,Cherry Tomato Seeds,Seeds,Mumbai Hub,2437,708,342,0,2803,0.0,0,No,9,No,6156,756,No
Jul-2022,FY23,SD002,Spinach Seeds (50g),Seeds,Talegaon Main (Pune),1945,507,862,3,1587,0.35,0,No,3,No,12068,333,No
Jul-2022,FY23,SD003,Coriander Seeds (50g),Seeds,Bengaluru Hub,1597,266,808,1,1054,0.12,0,No,4,No,9696,189,No
Jul-2022,FY23,SD004,Chilli Hybrid Seeds,Seeds,Talegaon Main (Pune),906,715,439,2,1180,0.46,0,No,8,No,9658,389,No
Jul-2022,FY23,SD005,Marigold Seeds,Seeds,Delhi Hub,369,656,673,0,352,0.0,0,No,10,No,10768,84,No
Jul-2022,FY23,SD006,Sunflower Seeds,Seeds,Mumbai Hub,1300,1189,457,5,2027,1.09,0,No,4,No,9140,608,No
Jul-2022,FY23,SD007,Petunia Seeds,Seeds,Mumbai Hub,1103,458,536,0,1025,0.0,0,No,13,No,15008,430,No
Jul-2022,FY23,SD008,Methi Seeds (100g),Seeds,Delhi Hub,917,1011,685,4,1239,0.58,0,No,9,No,6850,185,No
Jul-2022,FY23,SD009,Basil Seeds,Seeds,Mumbai Hub,823,337,197,4,959,2.03,0,No,13,No,2955,215,No
Jul-2022,FY23,PT001,Ceramic Pot 5 inch – White,Pots & Planters,Talegaon Main (Pune),1479,1077,701,0,1855,0.0,0,No,7,No,73605,2921,No
Jul-2022,FY23,PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Hyderabad Spoke,455,320,456,2,317,0.44,0,No,7,No,61560,641,No
