month,fy,city,state,channel,total_orders,revenue_inr,avg_order_value_inr,units_sold,new_customers,returning_customers,returns,return_rate_pct,cancellations,discount_orders_pct,avg_discount_pct,city_tier
Apr-2022,FY23,Ahmedabad,Gujarat,Ugaoo Website,210,264954,1256,361,46,82,16,7.8,5,32.3,11.6,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Blinkit,104,123468,1221,121,33,47,10,9.8,4,40.9,12.8,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Zepto,85,104263,1241,144,35,41,9,11.3,1,44.0,7.1,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Retail Store,213,284003,1310,260,68,109,12,5.9,7,28.7,14.3,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Corporate Gifting,114,107348,983,197,38,44,8,7.5,4,24.7,7.7,Non-Metro
Apr-2022,FY23,Ahmedabad,Gujarat,Meesho,38,59793,1465,47,12,19,2,6.4,1,21.5,14.0,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Amazon,126,143436,1175,201,24,43,9,7.6,3,31.5,9.4,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Flipkart,200,268888,1364,263,52,86,21,10.6,7,25.6,8.9,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Ugaoo Website,172,143767,861,230,32,55,21,12.4,5,35.6,12.0,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Blinkit,90,97250,1077,133,33,41,10,12.1,3,20.6,12.4,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Zepto,56,76534,1408,90,16,23,2,5.1,2,40.8,11.0,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Retail Store,174,213242,1232,272,53,76,18,10.8,9,18.0,12.0,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Corporate Gifting,80,103978,1309,121,19,42,9,12.2,1,20.1,9.1,Non-Metro
Apr-2022,FY23,Jaipur,Rajasthan,Meesho,23,31921,1499,33,4,7,2,8.7,0,38.6,15.9,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Amazon,179,205584,1130,207,41,83,14,7.9,4,42.6,19.7,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Flipkart,129,132843,1060,223,46,49,7,5.9,6,33.7,12.4,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Ugaoo Website,124,194058,1594,154,25,60,7,6.0,7,28.8,19.7,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Blinkit,75,78767,1016,88,25,35,4,5.5,2,36.6,19.5,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Zepto,93,137660,1450,126,28,30,7,8.4,2,43.0,17.5,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Retail Store,137,220374,1600,175,46,72,15,11.6,5,23.5,6.8,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Corporate Gifting,98,126777,1249,148,21,30,8,8.4,3,23.1,11.0,Non-Metro
Apr-2022,FY23,Gurgaon,Haryana,Meesho,28,36065,1172,34,7,13,2,9.0,1,44.3,6.4,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Amazon,88,91267,995,131,16,46,4,5.5,5,32.0,19.4,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Flipkart,76,67432,922,125,20,34,6,9.2,3,31.6,14.3,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Ugaoo Website,73,106267,1411,87,22,40,6,8.6,2,38.5,6.4,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Blinkit,20,15133,877,31,5,6,1,7.6,0,35.9,13.5,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Zepto,28,31313,1266,46,7,8,3,11.5,0,38.6,6.3,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Retail Store,56,68592,1248,87,19,21,6,11.2,1,19.6,7.5,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Corporate Gifting,44,45632,1062,79,8,14,2,6.5,1,18.7,16.7,Non-Metro
Apr-2022,FY23,Noida,Uttar Pradesh,Meesho,15,23984,1430,19,5,7,1,10.4,0,24.1,11.9,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Amazon,125,145466,1170,177,45,57,13,10.7,3,39.3,19.3,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Flipkart,66,76491,1176,104,19,27,6,9.6,2,21.9,16.1,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Ugaoo Website,59,95219,1537,72,16,20,3,6.2,3,34.2,18.2,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Blinkit,31,30880,887,51,10,10,2,6.9,0,24.0,9.5,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Zepto,20,30458,1509,26,7,6,2,10.3,1,43.1,11.6,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Retail Store,80,111833,1438,134,23,25,8,10.3,2,20.7,19.3,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Corporate Gifting,33,50848,1599,57,9,15,3,10.3,1,19.1,15.1,Non-Metro
Apr-2022,FY23,Nashik,Maharashtra,Meesho,8,8672,1516,14,3,2,0,7.5,0,38.8,6.6,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Amazon,95,142995,1509,128,24,46,8,8.7,5,24.5,18.5,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Flipkart,94,101424,1121,144,22,30,9,10.2,5,31.7,12.9,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Ugaoo Website,50,66938,1334,74,14,23,6,12.1,1,33.4,5.1,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Blinkit,40,42962,1012,48,9,15,3,9.3,1,20.8,18.9,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Zepto,21,31366,1529,25,6,9,1,8.8,0,41.1,5.4,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Retail Store,67,66612,950,86,21,26,5,8.1,1,36.3,15.1,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Corporate Gifting,46,44779,951,56,16,15,5,10.9,1,22.7,8.6,Non-Metro
Apr-2022,FY23,Bhopal,Madhya Pradesh,Meesho,14,23145,1413,21,5,5,1,8.4,0,23.4,16.3,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Amazon,128,194482,1485,190,47,53,7,6.1,4,23.3,18.7,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Flipkart,70,82518,1209,112,18,33,7,10.0,2,36.7,7.5,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Ugaoo Website,67,85005,1214,114,21,32,4,7.0,3,35.1,16.8,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Blinkit,38,48191,1348,55,14,17,2,6.6,1,44.4,15.9,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Zepto,23,22879,992,25,6,8,1,7.4,1,29.0,7.0,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Retail Store,81,67358,855,91,23,38,5,6.4,4,30.7,9.8,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Corporate Gifting,50,45126,873,80,19,18,2,5.3,1,32.4,9.0,Non-Metro
Apr-2022,FY23,Indore,Madhya Pradesh,Meesho,9,5276,1085,16,1,3,0,9.9,0,43.0,6.2,Non-Metro
May-2022,FY23,Bengaluru,Karnataka,Amazon,2003,3078258,1536,3557,369,964,210,10.5,88,23.3,16.8,Metro
May-2022,FY23,Bengaluru,Karnataka,Flipkart,1846,1745966,945,3172,745,995,142,7.7,71,44.0,19.8,Metro
May-2022,FY23,Bengaluru,Karnataka,Ugaoo Website,1176,1589730,1348,1434,387,490,121,10.3,27,18.9,11.2,Metro
May-2022,FY23,Bengaluru,Karnataka,Blinkit,627,971667,1542,830,211,203,69,11.1,25,38.8,5.6,Metro
May-2022,FY23,Bengaluru,Karnataka,Zepto,719,915400,1271,1017,225,250,45,6.3,16,23.4,15.0,Metro
May-2022,FY23,Bengaluru,Karnataka,Retail Store,1657,2555880,1541,2674,653,688,167,10.1,54,40.4,18.6,Metro
May-2022,FY23,Bengaluru,Karnataka,Corporate Gifting,778,1079263,1383,1157,141,261,60,7.8,39,21.2,19.7,Metro
May-2022,FY23,Bengaluru,Karnataka,Meesho,423,544436,1288,694,127,160,26,6.3,18,22.7,13.2,Metro
May-2022,FY23,Mumbai,Maharashtra,Amazon,1546,1758647,1136,2147,439,823,153,9.9,50,19.5,7.9,Metro
May-2022,FY23,Mumbai,Maharashtra,Flipkart,1359,1798152,1322,1918,392,507,137,10.1,34,33.0,5.1,Metro
May-2022,FY23,Mumbai,Maharashtra,Ugaoo Website,1180,1622988,1372,1510,396,365,71,6.1,68,27.1,5.2,Metro
May-2022,FY23,Mumbai,Maharashtra,Blinkit,487,469310,967,783,136,151,58,12.1,9,40.0,19.0,Metro
May-2022,FY23,Mumbai,Maharashtra,Zepto,716,1131442,1585,837,267,240,69,9.7,34,36.5,8.5,Metro
May-2022,FY23,Mumbai,Maharashtra,Retail Store,1564,1824918,1165,2443,310,608,104,6.7,84,40.0,17.5,Metro
May-2022,FY23,Mumbai,Maharashtra,Corporate Gifting,667,810361,1208,804,186,207,55,8.3,19,36.8,7.9,Metro
May-2022,FY23,Mumbai,Maharashtra,Meesho,249,317278,1271,389,92,111,19,8.0,13,23.8,18.3,Metro
May-2022,FY23,Delhi,Delhi,Amazon,1480,1736990,1176,2563,277,507,140,9.5,76,30.1,7.5,Metro
May-2022,FY23,Delhi,Delhi,Flipkart,1045,1332819,1272,1525,204,422,63,6.1,60,23.5,7.3,Metro
May-2022,FY23,Delhi,Delhi,Ugaoo Website,939,1269597,1352,1099,186,441,87,9.3,33,38.3,13.9,Metro
May-2022,FY23,Delhi,Delhi,Blinkit,466,495956,1071,782,100,228,47,10.3,17,28.8,19.4,Metro
May-2022,FY23,Delhi,Delhi,Zepto,433,689376,1598,580,159,152,24,5.6,20,20.1,11.5,Metro
May-2022,FY23,Delhi,Delhi,Retail Store,1063,1448875,1359,1509,215,579,77,7.3,32,41.0,9.0,Metro
May-2022,FY23,Delhi,Delhi,Corporate Gifting,386,498663,1298,556,80,171,26,6.8,8,29.4,18.8,Metro
May-2022,FY23,Delhi,Delhi,Meesho,158,153927,963,213,63,66,10,6.9,6,41.6,10.2,Metro
May-2022,FY23,Pune,Maharashtra,Amazon,811,918107,1134,963,153,370,95,11.8,23,32.3,16.2,Metro
May-2022,FY23,Pune,Maharashtra,Flipkart,815,949034,1161,1037,317,339,68,8.4,20,21.9,19.6,Metro
May-2022,FY23,Pune,Maharashtra,Ugaoo Website,748,1121987,1500,1333,217,389,50,6.7,32,44.9,14.1,Metro
May-2022,FY23,Pune,Maharashtra,Blinkit,331,457428,1382,438,93,145,32,9.9,19,20.8,12.2,Metro
May-2022,FY23,Pune,Maharashtra,Zepto,331,418093,1250,413,90,170,19,5.9,9,20.7,13.6,Metro
May-2022,FY23,Pune,Maharashtra,Retail Store,656,1032982,1577,1049,157,231,76,11.6,33,30.1,5.1,Metro
May-2022,FY23,Pune,Maharashtra,Corporate Gifting,416,613884,1485,730,114,214,41,9.9,15,42.7,18.0,Metro
May-2022,FY23,Pune,Maharashtra,Meesho,120,187900,1562,191,28,38,11,9.2,5,41.2,7.7,Metro
May-2022,FY23,Hyderabad,Telangana,Amazon,700,717472,1032,1094,168,340,84,12.0,40,26.9,11.0,Metro
May-2022,FY23,Hyderabad,Telangana,Flipkart,435,385960,877,744,124,159,22,5.1,15,27.8,17.3,Metro
May-2022,FY23,Hyderabad,Telangana,Ugaoo Website,483,558968,1152,596,177,248,27,5.6,24,31.3,14.7,Metro
May-2022,FY23,Hyderabad,Telangana,Blinkit,195,268685,1354,307,60,91,15,8.2,4,39.6,13.9,Metro
May-2022,FY23,Hyderabad,Telangana,Zepto,200,234227,1184,259,72,96,17,8.5,4,35.7,9.2,Metro
May-2022,FY23,Hyderabad,Telangana,Retail Store,413,458886,1105,618,117,157,23,5.7,24,44.2,12.5,Metro
May-2022,FY23,Hyderabad,Telangana,Corporate Gifting,322,337252,1041,400,79,146,28,8.7,12,27.1,11.5,Metro
May-2022,FY23,Hyderabad,Telangana,Meesho,95,129778,1323,127,23,44,8,9.2,2,35.0,17.1,Metro
May-2022,FY23,Chennai,Tamil Nadu,Amazon,420,466022,1110,500,144,197,33,7.9,18,42.9,5.3,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Flipkart,598,920260,1541,789,159,303,71,12.0,35,32.0,9.6,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Ugaoo Website,241,237997,995,349,67,74,30,12.5,10,28.4,17.1,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Blinkit,206,211059,1024,321,44,107,16,8.0,6,35.6,12.3,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Zepto,171,209305,1246,289,61,61,14,8.7,7,21.4,13.1,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Retail Store,702,952648,1357,824,207,297,47,6.8,14,21.8,9.1,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Corporate Gifting,304,393297,1307,404,98,97,17,5.8,12,30.7,15.3,Non-Metro
May-2022,FY23,Chennai,Tamil Nadu,Meesho,70,60894,892,90,14,33,8,12.6,3,18.4,15.7,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Amazon,391,404889,1039,652,76,201,35,9.0,13,22.2,7.6,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Flipkart,447,514070,1159,776,121,170,28,6.3,22,36.0,6.9,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Ugaoo Website,199,228392,1170,277,40,103,15,7.8,11,29.8,16.7,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Blinkit,110,125496,1138,186,41,43,11,10.5,4,18.2,9.8,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Zepto,100,126990,1280,118,20,33,12,12.7,3,32.0,11.7,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Retail Store,294,303885,1035,340,67,156,23,7.9,6,28.4,11.2,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Corporate Gifting,205,308872,1529,331,68,96,19,9.7,7,34.5,17.6,Non-Metro
May-2022,FY23,Kolkata,West Bengal,Meesho,43,52506,1177,64,15,19,2,6.8,1,37.9,8.3,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Amazon,275,360942,1298,351,82,129,29,10.9,6,25.7,14.3,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Flipkart,225,333149,1485,279,75,103,26,11.9,10,19.9,9.4,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Ugaoo Website,161,245975,1541,278,48,73,15,9.9,3,35.0,16.0,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Blinkit,89,87905,999,119,31,29,9,10.9,3,37.5,19.3,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Zepto,94,88844,904,130,31,44,7,7.9,3,27.3,5.8,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Retail Store,217,276426,1263,340,57,86,19,8.8,8,23.1,18.5,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Corporate Gifting,113,110599,1010,145,25,56,7,6.4,3,30.2,8.6,Non-Metro
May-2022,FY23,Ahmedabad,Gujarat,Meesho,35,59561,1598,56,9,13,2,8.2,1,20.3,5.4,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Amazon,228,291112,1270,278,52,86,14,6.3,5,20.4,13.8,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Flipkart,112,105608,975,127,35,43,9,8.9,3,44.0,12.8,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Ugaoo Website,79,104513,1308,137,28,26,6,8.6,2,29.1,6.5,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Blinkit,55,48280,859,71,15,17,3,6.3,1,31.4,10.3,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Zepto,60,77102,1309,66,21,23,3,5.1,3,34.3,10.8,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Retail Store,127,128528,1045,165,47,55,15,12.0,7,33.2,14.9,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Corporate Gifting,64,81397,1335,113,15,33,4,7.4,2,24.3,7.4,Non-Metro
May-2022,FY23,Jaipur,Rajasthan,Meesho,30,30146,876,45,10,12,2,8.1,1,27.4,17.6,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Amazon,167,257523,1565,262,57,67,13,8.2,8,24.7,12.0,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Flipkart,134,203876,1516,198,34,59,8,6.3,6,26.3,17.8,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Ugaoo Website,95,148874,1550,139,36,51,9,9.9,1,42.6,17.2,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Blinkit,60,77483,1289,101,23,27,6,10.9,3,21.4,14.1,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Zepto,54,72933,1337,61,9,24,3,6.4,1,27.4,5.2,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Retail Store,156,143100,895,258,54,80,19,12.4,8,18.2,16.3,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Corporate Gifting,66,99496,1471,79,25,20,4,6.6,1,21.0,10.0,Non-Metro
May-2022,FY23,Gurgaon,Haryana,Meesho,27,43676,1450,30,8,13,1,5.4,1,34.5,12.1,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Amazon,91,135392,1486,112,28,41,10,11.7,3,30.7,17.4,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Flipkart,97,114762,1182,131,36,33,9,9.9,2,41.0,15.0,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Ugaoo Website,49,46238,985,58,18,17,3,6.3,1,32.7,19.3,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Blinkit,38,47745,1133,42,15,11,4,12.1,1,33.0,17.8,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Zepto,18,24210,1339,20,7,6,1,9.9,0,40.7,9.1,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Retail Store,58,57583,1015,90,12,18,7,12.5,2,27.1,17.5,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Corporate Gifting,51,41109,868,89,11,26,6,13.0,1,31.6,18.1,Non-Metro
May-2022,FY23,Noida,Uttar Pradesh,Meesho,10,12329,1487,16,2,4,1,10.3,0,42.6,10.8,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Amazon,88,111638,1276,146,30,29,6,7.8,4,24.6,12.9,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Flipkart,74,92677,1246,116,25,32,6,8.4,3,21.0,5.9,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Ugaoo Website,41,60991,1434,73,16,20,3,9.5,2,44.1,12.4,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Blinkit,36,34262,886,48,14,18,3,10.2,1,29.4,10.6,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Zepto,36,31441,916,51,13,18,3,10.0,2,37.2,19.2,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Retail Store,71,97098,1402,99,23,38,3,5.2,4,23.7,11.2,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Corporate Gifting,32,29717,970,51,8,16,3,9.5,1,22.4,15.7,Non-Metro
May-2022,FY23,Nashik,Maharashtra,Meesho,8,6188,917,12,2,4,0,11.9,0,30.0,12.5,Non-Metro
May-2022,FY23,Bhopal,Madhya Pradesh,Amazon,120,101545,863,187,32,53,11,9.8,4,35.7,16.4,Non-Metro
May-2022,FY23,Bhopal,Madhya Pradesh,Flipkart,58,87160,1534,66,16,17,3,5.2,1,42.2,15.5,Non-Metro
May-2022,FY23,Bhopal,Madhya Pradesh,Ugaoo Website,71,92416,1294,88,12,26,7,11.0,3,41.1,11.5,Non-Metro
