order_id,customer_id,order_date,order_month,order_quarter,channel,city,state,product_id,product_name,category,sub_category,quantity,unit_price,discount_pct,gross_value_inr,order_value,delivery_days,payment_mode,order_status,is_gift_order,replacement_claimed,delivery_rating,fy,gender,age,segment,acquisition_channel,nps_score,app_user,cost_price_inr,gross_margin_pct,maintenance_level,is_bestseller,profit,profit_margin,final_price,is_returned,year,month,month_name,quarter,risk_flag,order_month_n,order_week,order_day_of_week,age_band,delivery_speed,delivery_rating_flag,is_delivered
UGA2300011,CUST010452,2024-11-26,Nov-2024,Q4 FY25,Zepto,Bengaluru,Karnataka,SD008,Methi Seeds (100g),Seeds,Herb Seeds,2,49,10,98,88.0,0.5,UPI,Delivered,Standard,Not Claimed,4.0,2024-25,Female,43,New,Google Ads,8,App User,10,79.6,Low,Standard,70.05,79.6,44.0,No,2024,11,Nov,4,Low Risk,11,48,Tuesday,36-45,1-2 Days,Rated,1
UGA2300012,CUST007162,2023-04-07,Apr-2023,Q2 FY24,Ugaoo Website,Pune,Maharashtra,PT002,Ceramic Pot 6 inch – Terracotta look,Pots & Planters,Ceramic Pots,2,399,5,798,758.0,4.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,58,Returning,Amazon,6,Non-App User,135,66.2,Not Applicable,Bestseller,501.8,66.2,379.0,No,2023,4,Apr,2,Low Risk,4,14,Friday,46-60,3-4 Days,Rated,1
UGA2300013,CUST006438,2023-08-27,Aug-2023,Q3 FY24,Retail Store,Hyderabad,Telangana,PL001,Monstera Deliciosa,Live Plants,Indoor Plants,2,449,25,898,674.0,2.0,UPI,Cancelled,Standard,Not Claimed,No Rating,2023-24,Male,39,Loyal,Amazon,8,App User,140,68.8,Low,Bestseller,463.71,68.8,337.0,No,2023,8,Aug,3,High Risk,8,34,Sunday,36-45,1-2 Days,No Rating,0
UGA2300014,CUST006702,2023-12-20,Dec-2023,Q4 FY24,Retail Store,Pune,Maharashtra,PL016,Aloe Vera,Live Plants,Succulents,1,249,0,249,249.0,4.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Male,32,New,Organic Search,10,Non-App User,80,67.9,Very Low,Bestseller,169.07,67.9,249.0,No,2023,12,Dec,4,Low Risk,12,51,Wednesday,26-35,3-4 Days,Rated,1
UGA2300015,CUST008422,2023-12-01,Dec-2023,Q4 FY24,Amazon,Bengaluru,Karnataka,PL012,Hibiscus – Pink,Live Plants,Outdoor Plants,2,349,5,698,663.0,1.0,COD,Delivered,Standard,Not Claimed,4.0,2023-24,Female,22,New,Instagram,8,Non-App User,110,68.5,Medium,Standard,454.16,68.5,331.5,No,2023,12,Dec,4,Low Risk,12,48,Friday,18-25,1-2 Days,Rated,1
UGA2300016,CUST005490,2024-01-22,Jan-2024,Q1 FY24,Blinkit,Hyderabad,Telangana,TL003,Premium Potting Mix 5kg,Tools,Soil & Media,4,399,0,1596,999.0,0.5,Credit Card,Delivered,Standard,Not Claimed,4.0,2023-24,Male,42,New,Word of Mouth,7,Non-App User,130,67.4,Not Applicable,Standard,673.33,67.4,249.75,No,2024,1,Jan,1,Low Risk,1,4,Monday,36-45,1-2 Days,Rated,1
UGA2300017,CUST004944,2024-05-25,May-2024,Q2 FY25,Corporate Gifting,Bengaluru,Karnataka,PL009,Rubber Plant,Live Plants,Indoor Plants,1,549,5,549,1499.0,3.0,UPI,Delivered,Standard,Not Claimed,5.0,2024-25,Female,21,Returning,Google Ads,9,Non-App User,180,67.2,Low,Standard,1007.33,67.2,1499.0,No,2024,5,May,2,Low Risk,5,21,Saturday,18-25,3-4 Days,Rated,1
UGA2300018,CUST002449,2023-06-16,Jun-2023,Q2 FY24,Blinkit,Bengaluru,Karnataka,PL008,Money Plant (Epipremnum),Live Plants,Indoor Plants,3,179,0,537,537.0,0.5,UPI,Delivered,Standard,Not Claimed,3.0,2023-24,Female,31,Loyal,Amazon,6,App User,50,72.1,Very Low,Bestseller,387.18,72.1,179.0,No,2023,6,Jun,2,Low Risk,6,24,Friday,26-35,1-2 Days,Rated,1
UGA2300019,CUST003501,2023-10-06,Oct-2023,Q4 FY24,Ugaoo Website,Hyderabad,Telangana,FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Chemical Fert.,2,299,10,598,538.0,4.0,UPI,Delivered,Gift,Not Claimed,5.0,2023-24,Female,24,Returning,Amazon,8,App User,95,68.2,Not Applicable,Standard,366.92,68.2,269.0,No,2023,10,Oct,4,Low Risk,10,40,Friday,18-25,3-4 Days,Rated,1
UGA2300020,CUST010292,2023-05-19,May-2023,Q2 FY24,Flipkart,Bengaluru,Karnataka,SD004,Chilli Hybrid Seeds,Seeds,Vegetable Seeds,2,99,0,198,198.0,4.5,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,36,Returning,Amazon,7,Non-App User,22,77.8,Low,Standard,154.04,77.8,99.0,No,2023,5,May,2,Low Risk,5,20,Friday,36-45,5+ Days,Rated,1
UGA2300021,CUST011312,2025-01-25,Jan-2025,Q1 FY25,Retail Store,Hyderabad,Telangana,PL014,Ixora,Live Plants,Outdoor Plants,1,269,5,269,256.0,3.0,COD,Delivered,Standard,Not Claimed,5.0,2024-25,Male,30,New,Word of Mouth,7,App User,85,68.4,Medium,Standard,175.1,68.4,256.0,No,2025,1,Jan,1,Low Risk,1,4,Saturday,26-35,3-4 Days,Rated,1
UGA2300022,CUST006662,2023-06-27,Jun-2023,Q2 FY24,Ugaoo Website,Delhi,Delhi,SD003,Coriander Seeds (50g),Seeds,Vegetable Seeds,3,59,25,177,133.0,2.0,Debit Card,Returned,Standard,Claimed,No Rating,2023-24,Male,35,Loyal,Amazon,6,App User,12,79.7,Low,Standard,106.0,79.7,44.33,Yes,2023,6,Jun,2,Low Risk,6,26,Tuesday,26-35,1-2 Days,No Rating,0
UGA2300023,CUST005538,2024-12-16,Dec-2024,Q4 FY25,Retail Store,Mumbai,Maharashtra,PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Ceramic Pots,1,649,5,649,617.0,2.0,COD,Delivered,Standard,Not Claimed,3.0,2024-25,Female,32,New,Organic Search,6,App User,210,67.6,Not Applicable,Standard,417.09,67.6,617.0,No,2024,12,Dec,4,Low Risk,12,51,Monday,26-35,1-2 Days,Rated,1
UGA2300024,CUST009639,2024-11-22,Nov-2024,Q4 FY25,Retail Store,Chennai,Tamil Nadu,PL013,Bougainvillea,Live Plants,Outdoor Plants,3,349,5,1047,1840.0,4.5,UPI,Delivered,Standard,Not Claimed,4.0,2024-25,Female,24,Loyal,Instagram,8,Non-App User,115,67.0,Low,Standard,1232.8,67.0,613.33,No,2024,11,Nov,4,Low Risk,11,47,Friday,18-25,5+ Days,Rated,1
UGA2300025,CUST011218,2024-01-07,Jan-2024,Q1 FY24,Blinkit,Mumbai,Maharashtra,TL001,Garden Pruner – Stainless,Tools,Pruning Tools,1,449,10,449,606.0,0.5,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Female,34,Returning,Organic Search,10,Non-App User,145,67.7,Not Applicable,Standard,410.26,67.7,606.0,No,2024,1,Jan,1,Low Risk,1,1,Sunday,26-35,1-2 Days,Rated,1
UGA2300026,CUST008390,2023-05-11,May-2023,Q2 FY24,Corporate Gifting,Jaipur,Rajasthan,PL009,Rubber Plant,Live Plants,Indoor Plants,1,549,5,549,1499.0,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,27,New,Amazon,7,App User,180,67.2,Low,Standard,1007.33,67.2,1499.0,No,2023,5,May,2,Low Risk,5,19,Thursday,26-35,1-2 Days,Rated,1
UGA2300027,CUST000871,2024-01-04,Jan-2024,Q1 FY24,Blinkit,Mumbai,Maharashtra,FR005,Plant Tonic – Rooting Hormone,Fertilisers,Specialty,2,219,0,438,438.0,0.5,UPI,Delivered,Standard,Not Claimed,3.0,2023-24,Female,43,New,Amazon,5,Non-App User,70,68.0,Not Applicable,Standard,297.84,68.0,219.0,No,2024,1,Jan,1,Low Risk,1,1,Thursday,36-45,1-2 Days,Rated,1
UGA2300028,CUST007384,2024-12-21,Dec-2024,Q4 FY25,Retail Store,Mumbai,Maharashtra,PL001,Monstera Deliciosa,Live Plants,Indoor Plants,3,449,0,1347,1347.0,2.0,UPI,Delivered,Standard,Not Claimed,3.0,2024-25,Female,41,New,Instagram,8,Non-App User,140,68.8,Low,Bestseller,926.74,68.8,449.0,No,2024,12,Dec,4,Low Risk,12,51,Saturday,36-45,1-2 Days,Rated,1
UGA2300029,CUST004492,2024-12-06,Dec-2024,Q4 FY25,Retail Store,Bengaluru,Karnataka,TL005,Moisture Meter,Tools,Gadgets,2,649,0,1298,1298.0,2.0,EMI,Delivered,Standard,Not Claimed,3.0,2024-25,Female,38,Returning,Word of Mouth,6,Non-App User,200,69.2,Not Applicable,Standard,898.22,69.2,649.0,No,2024,12,Dec,4,Low Risk,12,49,Friday,36-45,1-2 Days,Rated,1
UGA2300030,CUST009875,2024-01-09,Jan-2024,Q1 FY24,Zepto,Mumbai,Maharashtra,PT003,Ceramic Pot 8 inch – Matte Black,Pots & Planters,Ceramic Pots,2,649,10,1298,999.0,0.5,UPI,Cancelled,Standard,Not Claimed,No Rating,2023-24,Female,38,Returning,Email,9,App User,210,67.6,Not Applicable,Standard,675.32,67.6,499.5,No,2024,1,Jan,1,Low Risk,1,2,Tuesday,36-45,1-2 Days,No Rating,0
UGA2300031,CUST005151,2023-06-20,Jun-2023,Q2 FY24,Retail Store,Hyderabad,Telangana,GF003,Festive Diwali Plant Hamper,Gifting,Festive Hampers,3,1074,0,8247,2364.5,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,28,Loyal,Word of Mouth,10,App User,1100,60.0,Not Applicable,Bestseller,1569.46,60.0,2749.0,No,2023,6,Jun,2,Low Risk,6,25,Tuesday,26-35,1-2 Days,Rated,1
UGA2300032,CUST004106,2023-09-10,Sep-2023,Q3 FY24,Retail Store,Chennai,Tamil Nadu,SD006,Sunflower Seeds,Seeds,Flower Seeds,2,99,20,198,158.0,2.0,Credit Card,Delivered,Standard,Not Claimed,5.0,2023-24,Male,50,Returning,Word of Mouth,9,App User,20,79.8,Low,Standard,126.08,79.8,79.0,No,2023,9,Sep,3,Low Risk,9,36,Sunday,46-60,1-2 Days,Rated,1
UGA2300033,CUST005107,2023-12-07,Dec-2023,Q4 FY24,Ugaoo Website,Bengaluru,Karnataka,GF001,Green Starter Kit,Gifting,Beginner Kits,1,899,20,899,719.0,3.0,Credit Card,Delivered,Standard,Not Claimed,4.0,2023-24,Female,43,Loyal,Organic Search,9,App User,370,58.8,Not Applicable,Bestseller,422.77,58.8,719.0,No,2023,12,Dec,4,Low Risk,12,49,Thursday,36-45,3-4 Days,Rated,1
UGA2300034,CUST008552,2023-09-27,Sep-2023,Q3 FY24,Amazon,Mumbai,Maharashtra,FR004,Bone Meal Fertiliser (500g),Fertilisers,Organic Fert.,3,299,10,897,807.0,2.0,COD,Delivered,Standard,Not Claimed,4.0,2023-24,Female,32,Loyal,Instagram,10,Non-App User,100,66.6,Not Applicable,Standard,537.46,66.6,269.0,No,2023,9,Sep,3,Low Risk,9,39,Wednesday,26-35,1-2 Days,Rated,1
UGA2300035,CUST007879,2024-09-08,Sep-2024,Q3 FY25,Zepto,Chennai,Tamil Nadu,PL010,Aglaonema Red,Live Plants,Indoor Plants,2,649,5,1298,999.0,0.5,UPI,Delivered,Gift,Not Claimed,5.0,2024-25,Male,47,Returning,Influencer,7,App User,210,67.6,Low,Standard,675.32,67.6,499.5,No,2024,9,Sep,3,Low Risk,9,36,Sunday,46-60,1-2 Days,Rated,1
UGA2300036,CUST008576,2024-10-01,Oct-2024,Q4 FY25,Amazon,Bengaluru,Karnataka,PL019,Areca Palm,Live Plants,Air Purifiers,1,749,5,749,712.0,3.0,Debit Card,Delivered,Standard,Not Claimed,4.0,2024-25,Female,29,Returning,Organic Search,7,Non-App User,250,66.6,Low,Standard,474.19,66.6,712.0,No,2024,10,Oct,4,Low Risk,10,40,Tuesday,26-35,3-4 Days,Rated,1
UGA2300037,CUST003776,2024-11-16,Nov-2024,Q4 FY25,Ugaoo Website,Bengaluru,Karnataka,PL010,Aglaonema Red,Live Plants,Indoor Plants,1,649,0,649,1200.0,2.0,UPI,Delivered,Standard,Not Claimed,4.0,2024-25,Male,37,Loyal,Instagram,7,App User,210,67.6,Low,Standard,811.2,67.6,1200.0,No,2024,11,Nov,4,Low Risk,11,46,Saturday,36-45,1-2 Days,Rated,1
UGA2300038,CUST006957,2023-06-29,Jun-2023,Q2 FY24,Amazon,Hyderabad,Telangana,PT004,Classic Terracotta 6in,Pots & Planters,Terracotta Pots,3,219,15,657,558.0,1.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,32,Loyal,Word of Mouth,9,App User,70,68.0,Not Applicable,Standard,379.44,68.0,186.0,No,2023,6,Jun,2,Low Risk,6,26,Thursday,26-35,1-2 Days,Rated,1
UGA2300039,CUST007723,2025-02-23,Feb-2025,Q1 FY25,Retail Store,Pune,Maharashtra,PT005,Self-Watering Pot 7in,Pots & Planters,Self-Watering,1,749,10,749,876.0,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2024-25,Male,22,Returning,Organic Search,6,App User,240,68.0,Not Applicable,Standard,595.68,68.0,876.0,No,2025,2,Feb,1,Low Risk,2,8,Sunday,18-25,1-2 Days,Rated,1
UGA2300040,CUST001649,2025-03-18,Mar-2025,Q1 FY25,Retail Store,Mumbai,Maharashtra,PL014,Ixora,Live Plants,Outdoor Plants,1,269,0,269,269.0,1.0,Debit Card,Delivered,Gift,Not Claimed,5.0,2024-25,Female,33,Loyal,Influencer,10,App User,85,68.4,Medium,Standard,184.0,68.4,269.0,No,2025,3,Mar,1,Low Risk,3,12,Tuesday,26-35,1-2 Days,Rated,1
UGA2300041,CUST005723,2024-07-11,Jul-2024,Q3 FY25,Amazon,Hyderabad,Telangana,FR001,Ugaoo NPK 19-19-19 (500g),Fertilisers,Chemical Fert.,4,299,10,1196,1076.0,4.5,UPI,Delivered,Gift,Not Claimed,3.0,2024-25,Female,22,Returning,Instagram,8,Non-App User,95,68.2,Not Applicable,Standard,733.83,68.2,269.0,No,2024,7,Jul,3,Low Risk,7,28,Thursday,18-25,5+ Days,Rated,1
UGA2300042,CUST010226,2023-10-08,Oct-2023,Q4 FY24,Ugaoo Website,Mumbai,Maharashtra,PT005,Self-Watering Pot 7in,Pots & Planters,Self-Watering,1,749,25,749,562.0,3.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Female,32,Loyal,Word of Mouth,9,Non-App User,240,68.0,Not Applicable,Standard,382.16,68.0,562.0,No,2023,10,Oct,4,High Risk,10,40,Sunday,26-35,3-4 Days,Rated,1
UGA2300043,CUST008576,2024-04-10,Apr-2024,Q2 FY25,Retail Store,Bengaluru,Karnataka,FR002,Organic Vermicompost (2kg),Fertilisers,Organic Fert.,4,349,15,1396,1187.0,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2024-25,Female,29,Returning,Organic Search,7,Non-App User,110,68.5,Not Applicable,Bestseller,813.1,68.5,296.75,No,2024,4,Apr,2,Low Risk,4,15,Wednesday,26-35,1-2 Days,Rated,1
UGA2300044,CUST007375,2023-08-16,Aug-2023,Q3 FY24,Ugaoo Website,Hyderabad,Telangana,GF002,Plant Parent Gift Box,Gifting,Gift Boxes,1,1074,15,1649,1402.0,3.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Female,27,Loyal,Instagram,9,App User,660,60.0,Not Applicable,Standard,841.2,60.0,1402.0,No,2023,8,Aug,3,Low Risk,8,33,Wednesday,26-35,3-4 Days,Rated,1
UGA2300045,CUST000762,2023-06-10,Jun-2023,Q2 FY24,Ugaoo Website,Noida,Uttar Pradesh,GF004,Corporate Desk Plant Set,Gifting,Corporate,2,1074,0,2698,2364.5,3.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Female,38,Loyal,Word of Mouth,6,Non-App User,540,60.0,Not Applicable,Standard,1569.46,60.0,1349.0,No,2023,6,Jun,2,Low Risk,6,23,Saturday,36-45,3-4 Days,Rated,1
UGA2300046,CUST007988,2024-01-12,Jan-2024,Q1 FY24,Retail Store,Indore,Madhya Pradesh,TL004,Pebbles Decorative 500g,Tools,Décor,2,179,10,358,483.0,3.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Female,36,New,Instagram,7,App User,55,69.3,Not Applicable,Standard,334.72,69.3,241.5,No,2024,1,Jan,1,Low Risk,1,2,Friday,36-45,3-4 Days,Rated,1
UGA2300047,CUST001156,2023-10-10,Oct-2023,Q4 FY24,Flipkart,Delhi,Delhi,PL009,Rubber Plant,Live Plants,Indoor Plants,1,549,0,549,549.0,4.0,Debit Card,Delivered,Standard,Not Claimed,5.0,2023-24,Male,35,New,Word of Mouth,8,App User,180,67.2,Low,Standard,368.93,67.2,549.0,No,2023,10,Oct,4,Low Risk,10,41,Tuesday,26-35,3-4 Days,Rated,1
UGA2300048,CUST005731,2024-06-02,Jun-2024,Q2 FY25,Flipkart,Pune,Maharashtra,PL015,Marigold Seedling,Live Plants,Outdoor Plants,2,129,0,258,258.0,2.0,COD,Delivered,Standard,Not Claimed,3.0,2024-25,Female,24,Returning,Word of Mouth,6,Non-App User,40,69.0,Medium,Standard,178.02,69.0,129.0,No,2024,6,Jun,2,Low Risk,6,22,Sunday,18-25,1-2 Days,Rated,1
UGA2300049,CUST002910,2023-12-23,Dec-2023,Q4 FY24,Retail Store,Bengaluru,Karnataka,GF002,Plant Parent Gift Box,Gifting,Gift Boxes,4,1074,0,6596,2364.5,2.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Female,31,Loyal,Influencer,6,Non-App User,660,60.0,Not Applicable,Standard,1569.46,60.0,1649.0,No,2023,12,Dec,4,Low Risk,12,51,Saturday,26-35,1-2 Days,Rated,1
UGA2300050,CUST000913,2023-05-26,May-2023,Q2 FY24,Ugaoo Website,Pune,Maharashtra,PL019,Areca Palm,Live Plants,Air Purifiers,1,749,0,749,749.0,3.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Female,41,Loyal,Word of Mouth,7,App User,250,66.6,Low,Standard,498.83,66.6,749.0,No,2023,5,May,2,Low Risk,5,21,Friday,36-45,3-4 Days,Rated,1
UGA2300051,CUST009335,2023-10-21,Oct-2023,Q4 FY24,Retail Store,Jaipur,Rajasthan,PL005,Golden Pothos,Live Plants,Indoor Plants,1,199,10,199,277.0,4.0,COD,Delivered,Standard,Not Claimed,3.0,2023-24,Male,42,Loyal,Google Ads,9,Non-App User,60,69.8,Very Low,Bestseller,193.35,69.8,277.0,No,2023,10,Oct,4,Low Risk,10,42,Saturday,36-45,3-4 Days,Rated,1
UGA2300052,CUST000571,2024-04-05,Apr-2024,Q2 FY25,Flipkart,Chennai,Tamil Nadu,SD008,Methi Seeds (100g),Seeds,Herb Seeds,1,49,25,49,37.0,4.0,Credit Card,Delivered,Gift,Not Claimed,4.0,2024-25,Female,21,Loyal,Google Ads,9,Non-App User,10,79.6,Low,Standard,29.45,79.6,37.0,No,2024,4,Apr,2,Low Risk,4,14,Friday,18-25,3-4 Days,Rated,1
UGA2300053,CUST005639,2023-05-14,May-2023,Q2 FY24,Amazon,Hyderabad,Telangana,PL018,Echeveria Set of 3,Live Plants,Succulents,3,299,0,897,897.0,3.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Female,30,New,Amazon,9,App User,95,68.2,Very Low,Standard,611.75,68.2,299.0,No,2023,5,May,2,Low Risk,5,19,Sunday,26-35,3-4 Days,Rated,1
UGA2300054,CUST001509,2025-03-04,Mar-2025,Q1 FY25,Retail Store,Pune,Maharashtra,TL004,Pebbles Decorative 500g,Tools,Décor,2,179,0,358,358.0,4.5,EMI,Delivered,Standard,Not Claimed,3.0,2024-25,Female,39,New,Email,9,App User,55,69.3,Not Applicable,Standard,248.09,69.3,179.0,No,2025,3,Mar,1,Low Risk,3,10,Tuesday,36-45,5+ Days,Rated,1
UGA2300055,CUST006988,2023-06-06,Jun-2023,Q2 FY24,Amazon,Bengaluru,Karnataka,PL001,Monstera Deliciosa,Live Plants,Indoor Plants,1,449,0,449,449.0,2.0,UPI,Returned,Gift,Not Claimed,No Rating,2023-24,Female,34,Loyal,Amazon,8,Non-App User,140,68.8,Low,Bestseller,308.91,68.8,449.0,No,2023,6,Jun,2,Low Risk,6,23,Tuesday,26-35,1-2 Days,No Rating,0
UGA2300056,CUST010588,2024-07-20,Jul-2024,Q3 FY25,Flipkart,Mumbai,Maharashtra,PL009,Rubber Plant,Live Plants,Indoor Plants,2,549,5,1098,1043.0,4.0,UPI,Cancelled,Standard,Not Claimed,No Rating,2024-25,Female,29,New,Organic Search,10,Non-App User,180,67.2,Low,Standard,700.9,67.2,521.5,No,2024,7,Jul,3,Low Risk,7,29,Saturday,26-35,3-4 Days,No Rating,0
UGA2300057,CUST007923,2023-07-09,Jul-2023,Q3 FY24,Ugaoo Website,Ahmedabad,Gujarat,SD001,Cherry Tomato Seeds,Seeds,Vegetable Seeds,3,89,0,267,267.0,1.0,UPI,Delivered,Standard,Not Claimed,4.0,2023-24,Male,34,Loyal,Organic Search,8,App User,18,79.8,Low,Bestseller,213.07,79.8,89.0,No,2023,7,Jul,3,Low Risk,7,27,Sunday,26-35,1-2 Days,Rated,1
UGA2300058,CUST003587,2025-01-13,Jan-2025,Q1 FY25,Blinkit,Bengaluru,Karnataka,PL020,Bamboo Palm,Live Plants,Air Purifiers,1,799,10,799,719.0,0.5,UPI,Delivered,Gift,Not Claimed,4.0,2024-25,Male,35,Loyal,Amazon,8,App User,270,66.2,Low,Standard,475.98,66.2,719.0,No,2025,1,Jan,1,Low Risk,1,3,Monday,26-35,1-2 Days,Rated,1
UGA2300059,CUST007378,2023-10-16,Oct-2023,Q4 FY24,Retail Store,Nashik,Maharashtra,PL019,Areca Palm,Live Plants,Air Purifiers,2,749,10,1498,1348.0,3.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Male,37,Returning,Amazon,10,App User,250,66.6,Low,Standard,897.77,66.6,674.0,No,2023,10,Oct,4,Low Risk,10,42,Monday,36-45,3-4 Days,Rated,1
UGA2300060,CUST004755,2024-01-01,Jan-2024,Q1 FY24,Flipkart,Mumbai,Maharashtra,PL001,Monstera Deliciosa,Live Plants,Indoor Plants,1,449,15,449,573.0,2.0,UPI,Delivered,Standard,Not Claimed,5.0,2023-24,Female,34,Returning,Organic Search,6,App User,140,68.8,Low,Bestseller,394.22,68.8,573.0,No,2024,1,Jan,1,Low Risk,1,1,Monday,26-35,1-2 Days,Rated,1
